user_id,question_id,section,subtopic,difficulty_tag,reason,priority
U00002,Q00735,Logical Reasoning,Statement & Assumption,Easy,Weak area: Statement & Assumption (accuracy: 0%),12.0
U00002,Q00016,Quantitative Aptitude,Mixtures & Alligations,Easy,Weak area: Mixtures & Alligations (accuracy: 4%),11.612159210019552
U00002,Q00178,Quantitative Aptitude,Mixtures & Alligations,Easy,Weak area: Mixtures & Alligations (accuracy: 4%),11.612159210019552
U00002,Q00200,Quantitative Aptitude,Mixtures & Alligations,Easy,Weak area: Mixtures & Alligations (accuracy: 4%),11.612159210019552
U00002,Q00213,Quantitative Aptitude,Mixtures & Alligations,Easy,Weak area: Mixtures & Alligations (accuracy: 4%),11.612159210019552
U00002,Q00503,Logical Reasoning,Direction Sense,Easy,Weak area: Direction Sense (accuracy: 4%),11.607108989599086
U00002,Q00837,Logical Reasoning,Direction Sense,Easy,Weak area: Direction Sense (accuracy: 4%),11.607108989599086
U00002,Q00747,Logical Reasoning,Direction Sense,Easy,Weak area: Direction Sense (accuracy: 4%),11.607108989599086
U00002,Q00697,Logical Reasoning,Direction Sense,Easy,Weak area: Direction Sense (accuracy: 4%),11.607108989599086
U00002,Q00011,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 26%),9.360089253155557
U00002,Q00022,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 26%),9.360089253155557
U00002,Q00107,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 26%),9.360089253155557
U00002,Q00161,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 26%),9.360089253155557
U00003,Q00045,Data Interpretation,Tables,Easy,Weak area: Tables (accuracy: 0%),12.0
U00003,Q00913,Quantitative Aptitude,Ratio & Proportion,Easy,Weak area: Ratio & Proportion (accuracy: 0%),12.0
U00003,Q00131,Verbal Ability,Odd One Out,Easy,Weak area: Odd One Out (accuracy: 0%),12.0
U00003,Q00410,Data Interpretation,Tables,Easy,Weak area: Tables (accuracy: 0%),12.0
U00003,Q01499,Quantitative Aptitude,Ratio & Proportion,Easy,Weak area: Ratio & Proportion (accuracy: 0%),12.0
U00003,Q00582,Verbal Ability,Odd One Out,Easy,Weak area: Odd One Out (accuracy: 0%),12.0
U00003,Q00371,Data Interpretation,Tables,Easy,Weak area: Tables (accuracy: 0%),12.0
U00003,Q00971,Quantitative Aptitude,Ratio & Proportion,Easy,Weak area: Ratio & Proportion (accuracy: 0%),12.0
U00003,Q00656,Verbal Ability,Odd One Out,Easy,Weak area: Odd One Out (accuracy: 0%),12.0
U00003,Q00421,Data Interpretation,Tables,Easy,Weak area: Tables (accuracy: 0%),12.0
U00003,Q00931,Quantitative Aptitude,Ratio & Proportion,Easy,Weak area: Ratio & Proportion (accuracy: 0%),12.0
U00003,Q00721,Verbal Ability,Odd One Out,Easy,Weak area: Odd One Out (accuracy: 0%),12.0
U00003,Q00727,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 2%),11.788004638068369
U00003,Q01199,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 2%),11.788004638068369
U00003,Q01108,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 2%),11.788004638068369
U00003,Q01414,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 2%),11.788004638068369
U00003,Q00086,Logical Reasoning,Blood Relations,Easy,Weak area: Blood Relations (accuracy: 5%),11.51426682713529
U00003,Q00100,Logical Reasoning,Blood Relations,Easy,Weak area: Blood Relations (accuracy: 5%),11.51426682713529
U00003,Q01248,Logical Reasoning,Blood Relations,Easy,Weak area: Blood Relations (accuracy: 5%),11.51426682713529
U00003,Q01290,Logical Reasoning,Blood Relations,Easy,Weak area: Blood Relations (accuracy: 5%),11.51426682713529
U00004,Q00218,Data Interpretation,Bar Graphs,Easy,Spaced repetition: got wrong 249 days ago,8.0
U00004,Q01274,Logical Reasoning,Statement & Conclusion,Easy,Spaced repetition: got wrong 146 days ago,8.0
U00004,Q08846,Data Interpretation,Caselets,Easy,Spaced repetition: got wrong 255 days ago,8.0
U00004,Q03693,Quantitative Aptitude,Geometry,Hard,Spaced repetition: got wrong 177 days ago,8.0
U00004,Q03126,Verbal Ability,Para Summary,Medium,Spaced repetition: got wrong 199 days ago,8.0
U00004,Q07677,Verbal Ability,Odd One Out,Medium,Spaced repetition: got wrong 147 days ago,8.0
U00004,Q10356,Verbal Ability,Fill in the Blanks,Medium,Spaced repetition: got wrong 274 days ago,8.0
U00004,Q08756,Quantitative Aptitude,"Time, Speed & Distance",Hard,Spaced repetition: got wrong 77 days ago,7.552098765432099
U00004,Q00088,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 56%)",6.426685720114923
U00004,Q00534,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 56%)",6.426685720114923
U00004,Q00601,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 56%)",6.426685720114923
U00004,Q00952,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Weak area: Time, Speed & Distance (accuracy: 56%)",6.426685720114923
U00004,Q00547,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 92%),2.8341072027136063
U00004,Q00331,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 92%),2.8341072027136063
U00004,Q00950,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 92%),2.8341072027136063
U00004,Q01012,Verbal Ability,Fill in the Blanks,Easy,Weak area: Fill in the Blanks (accuracy: 92%),2.8341072027136063
U00005,Q04291,Logical Reasoning,Input-Output,Easy,Spaced repetition: got wrong 267 days ago,8.0
U00005,Q09600,Verbal Ability,Reading Comprehension,Medium,Spaced repetition: got wrong 245 days ago,8.0
U00006,Q00185,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 0%),12.0
U00006,Q00385,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 0%),12.0
U00006,Q00827,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 0%),12.0
U00006,Q00782,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 0%),12.0
U00006,Q00727,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 21%),9.854151461739832
U00006,Q00958,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 21%),9.854151461739832
U00006,Q01199,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 21%),9.854151461739832
U00006,Q01505,Logical Reasoning,Statement & Conclusion,Easy,Weak area: Statement & Conclusion (accuracy: 21%),9.854151461739832
U00006,Q00090,Verbal Ability,Critical Reasoning,Easy,Weak area: Critical Reasoning (accuracy: 23%),9.704400010696233
U00006,Q00229,Verbal Ability,Critical Reasoning,Easy,Weak area: Critical Reasoning (accuracy: 23%),9.704400010696233
U00006,Q00823,Verbal Ability,Critical Reasoning,Easy,Weak area: Critical Reasoning (accuracy: 23%),9.704400010696233
U00006,Q00495,Verbal Ability,Critical Reasoning,Easy,Weak area: Critical Reasoning (accuracy: 23%),9.704400010696233
U00006,Q00260,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 48%),7.185216620812495
U00006,Q00175,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 48%),7.185216620812495
U00006,Q00462,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 48%),7.185216620812495
U00006,Q00839,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 48%),7.185216620812495
U00006,Q10243,Data Interpretation,Line Graphs,Hard,Spaced repetition: got wrong 61 days ago,7.018521219135803
U00006,Q02392,Data Interpretation,Bar Graphs,Medium,Spaced repetition: got wrong 58 days ago,6.944325617283951
U00006,Q03646,Quantitative Aptitude,Linear Equations,Hard,Spaced repetition: got wrong 58 days ago,6.942259645061728
U00006,Q09385,Quantitative Aptitude,Geometry,Easy,Spaced repetition: got wrong 57 days ago,6.91333487654321
U00007,Q00326,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 9%),11.143027182556429
U00007,Q00985,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 9%),11.143027182556429
U00007,Q00983,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 9%),11.143027182556429
U00007,Q00902,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 9%),11.143027182556429
U00007,Q00433,Quantitative Aptitude,Surds & Indices,Easy,Weak area: Surds & Indices (accuracy: 16%),10.410836331821885
U00007,Q00515,Quantitative Aptitude,Surds & Indices,Easy,Weak area: Surds & Indices (accuracy: 16%),10.410836331821885
U00007,Q00325,Quantitative Aptitude,Surds & Indices,Easy,Weak area: Surds & Indices (accuracy: 16%),10.410836331821885
U00007,Q00597,Quantitative Aptitude,Surds & Indices,Easy,Weak area: Surds & Indices (accuracy: 16%),10.410836331821885
U00007,Q00260,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 17%),10.34436634571148
U00007,Q00175,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 17%),10.34436634571148
U00007,Q00839,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 17%),10.34436634571148
U00007,Q01893,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 17%),10.34436634571148
U00007,Q00225,Logical Reasoning,Coding-Decoding,Easy,Weak area: Coding-Decoding (accuracy: 23%),9.725259359951991
U00007,Q00575,Logical Reasoning,Coding-Decoding,Easy,Weak area: Coding-Decoding (accuracy: 23%),9.725259359951991
U00007,Q00514,Logical Reasoning,Coding-Decoding,Easy,Weak area: Coding-Decoding (accuracy: 23%),9.725259359951991
U00007,Q00425,Logical Reasoning,Coding-Decoding,Easy,Weak area: Coding-Decoding (accuracy: 23%),9.725259359951991
U00007,Q00269,Quantitative Aptitude,Probability,Easy,Weak area: Probability (accuracy: 28%),9.201291875191234
U00007,Q00676,Quantitative Aptitude,Probability,Easy,Weak area: Probability (accuracy: 28%),9.201291875191234
U00007,Q00652,Quantitative Aptitude,Probability,Easy,Weak area: Probability (accuracy: 28%),9.201291875191234
U00007,Q01353,Quantitative Aptitude,Probability,Easy,Weak area: Probability (accuracy: 28%),9.201291875191234
U00008,Q02119,Logical Reasoning,Input-Output,Hard,Spaced repetition: got wrong 139 days ago,8.0
U00008,Q05908,Data Interpretation,Radar/Spider Charts,Easy,Spaced repetition: got wrong 141 days ago,8.0
U00008,Q03442,Logical Reasoning,Analogy,Easy,Spaced repetition: got wrong 156 days ago,8.0
U00008,Q05519,Logical Reasoning,Syllogisms,Hard,Spaced repetition: got wrong 104 days ago,8.0
U00008,Q00633,Quantitative Aptitude,Linear Equations,Medium,Spaced repetition: got wrong 122 days ago,8.0
U00008,Q01657,Quantitative Aptitude,Algebra,Hard,Spaced repetition: got wrong 122 days ago,8.0
U00008,Q01703,Quantitative Aptitude,Simple Interest,Easy,Spaced repetition: got wrong 117 days ago,8.0
U00008,Q01784,Quantitative Aptitude,Mixtures & Alligations,Medium,Spaced repetition: got wrong 131 days ago,8.0
U00008,Q02847,Quantitative Aptitude,Trigonometry,Easy,Spaced repetition: got wrong 119 days ago,8.0
U00008,Q08259,Quantitative Aptitude,Logarithms,Medium,Spaced repetition: got wrong 152 days ago,8.0
U00008,Q09143,Quantitative Aptitude,Mixtures & Alligations,Easy,Spaced repetition: got wrong 116 days ago,8.0
U00008,Q09334,Logical Reasoning,Cubes & Dice,Medium,Spaced repetition: got wrong 88 days ago,7.948600308641975
U00008,Q02584,Verbal Ability,Para Jumbles,Easy,Spaced repetition: got wrong 88 days ago,7.933543981481481
U00008,Q09887,Verbal Ability,Reading Comprehension,Hard,Spaced repetition: got wrong 84 days ago,7.7873425925925925
U00008,Q07295,Quantitative Aptitude,Time & Work,Medium,Spaced repetition: got wrong 83 days ago,7.768765817901235
U00008,Q04280,Quantitative Aptitude,Pipes & Cisterns,Medium,Spaced repetition: got wrong 82 days ago,7.731883101851851
U00008,Q01691,Quantitative Aptitude,Time & Work,Medium,Spaced repetition: got wrong 70 days ago,7.33508950617284
U00008,Q05989,Quantitative Aptitude,Ratio & Proportion,Easy,Spaced repetition: got wrong 61 days ago,7.042105324074074
U00008,Q05920,Verbal Ability,Sentence Correction,Hard,Spaced repetition: got wrong 60 days ago,7.000318672839507
U00008,Q00554,Data Interpretation,Mixed DI Sets,Medium,Spaced repetition: got wrong 58 days ago,6.930582175925926
U00009,Q00156,Data Interpretation,Data Sufficiency (DI),Easy,Weak area: Data Sufficiency (DI) (accuracy: 0%),12.0
U00009,Q00021,Verbal Ability,Idioms & Phrases,Easy,Weak area: Idioms & Phrases (accuracy: 0%),12.0
U00009,Q00715,Data Interpretation,Data Sufficiency (DI),Easy,Weak area: Data Sufficiency (DI) (accuracy: 0%),12.0
U00009,Q00091,Verbal Ability,Idioms & Phrases,Easy,Weak area: Idioms & Phrases (accuracy: 0%),12.0
U00009,Q00607,Data Interpretation,Data Sufficiency (DI),Easy,Weak area: Data Sufficiency (DI) (accuracy: 0%),12.0
U00009,Q00094,Verbal Ability,Idioms & Phrases,Easy,Weak area: Idioms & Phrases (accuracy: 0%),12.0
U00009,Q00403,Data Interpretation,Data Sufficiency (DI),Easy,Weak area: Data Sufficiency (DI) (accuracy: 0%),12.0
U00009,Q00105,Verbal Ability,Idioms & Phrases,Easy,Weak area: Idioms & Phrases (accuracy: 0%),12.0
U00009,Q00171,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 4%),11.577438144148898
U00009,Q00218,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 4%),11.577438144148898
U00009,Q00438,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 4%),11.577438144148898
U00009,Q00377,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 4%),11.577438144148898
U00009,Q00275,Verbal Ability,Verbal Analogies,Easy,Weak area: Verbal Analogies (accuracy: 6%),11.406186067616002
U00009,Q00369,Verbal Ability,Verbal Analogies,Easy,Weak area: Verbal Analogies (accuracy: 6%),11.406186067616002
U00009,Q00370,Verbal Ability,Verbal Analogies,Easy,Weak area: Verbal Analogies (accuracy: 6%),11.406186067616002
U00009,Q00694,Verbal Ability,Verbal Analogies,Easy,Weak area: Verbal Analogies (accuracy: 6%),11.406186067616002
U00009,Q00186,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 10%),11.047861158601421
U00009,Q00201,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 10%),11.047861158601421
U00009,Q00426,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 10%),11.047861158601421
U00009,Q00284,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 10%),11.047861158601421
U00010,Q00022,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 36%),8.439807402733784
U00010,Q00107,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 36%),8.439807402733784
U00010,Q00168,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 36%),8.439807402733784
U00010,Q00161,Verbal Ability,Para Summary,Easy,Weak area: Para Summary (accuracy: 36%),8.439807402733784
U00010,Q06068,Logical Reasoning,Cubes & Dice,Easy,Spaced repetition: got wrong 99 days ago,8.0
U00010,Q03436,Quantitative Aptitude,Progressions (AP/GP),Medium,Spaced repetition: got wrong 146 days ago,8.0
U00010,Q04021,Quantitative Aptitude,Ratio & Proportion,Medium,Spaced repetition: got wrong 107 days ago,8.0
U00010,Q00011,Verbal Ability,Para Summary,Easy,Spaced repetition: got wrong 189 days ago,8.0
U00010,Q04483,Quantitative Aptitude,Number System,Hard,Spaced repetition: got wrong 176 days ago,8.0
U00010,Q00914,Verbal Ability,Odd One Out,Medium,Spaced repetition: got wrong 103 days ago,8.0
U00010,Q05766,Verbal Ability,Synonyms & Antonyms,Medium,Spaced repetition: got wrong 166 days ago,8.0
U00010,Q06690,Logical Reasoning,Ranking & Order,Easy,Spaced repetition: got wrong 86 days ago,7.864939429012345
U00010,Q00184,Data Interpretation,Bar Graphs,Hard,Spaced repetition: got wrong 76 days ago,7.530707175925926
U00010,Q00326,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 47%),7.3148618067277065
U00010,Q00985,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 47%),7.3148618067277065
U00010,Q00983,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 47%),7.3148618067277065
U00010,Q00902,Quantitative Aptitude,Progressions (AP/GP),Easy,Weak area: Progressions (AP/GP) (accuracy: 47%),7.3148618067277065
U00010,Q04603,Data Interpretation,Tables,Medium,Spaced repetition: got wrong 67 days ago,7.233595679012346
U00010,Q01721,Data Interpretation,Radar/Spider Charts,Hard,Spaced repetition: got wrong 64 days ago,7.116748842592592
U00010,Q08459,Quantitative Aptitude,Mixtures & Alligations,Easy,Spaced repetition: got wrong 47 days ago,6.551030092592592
U00011,Q01159,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00011,Q01098,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00011,Q01870,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00011,Q01951,Logical Reasoning,Cubes & Dice,Easy,Weak area: Cubes & Dice (accuracy: 0%),12.0
U00011,Q00123,Logical Reasoning,Venn Diagrams,Easy,Weak area: Venn Diagrams (accuracy: 10%),10.977428584272127
U00011,Q00343,Logical Reasoning,Venn Diagrams,Easy,Weak area: Venn Diagrams (accuracy: 10%),10.977428584272127
U00011,Q00618,Logical Reasoning,Venn Diagrams,Easy,Weak area: Venn Diagrams (accuracy: 10%),10.977428584272127
U00011,Q00489,Logical Reasoning,Venn Diagrams,Easy,Weak area: Venn Diagrams (accuracy: 10%),10.977428584272127
U00011,Q00005,Verbal Ability,Para Jumbles,Easy,Weak area: Para Jumbles (accuracy: 14%),10.608406993594011
U00011,Q00060,Verbal Ability,Para Jumbles,Easy,Weak area: Para Jumbles (accuracy: 14%),10.608406993594011
U00011,Q00364,Verbal Ability,Para Jumbles,Easy,Weak area: Para Jumbles (accuracy: 14%),10.608406993594011
U00011,Q00133,Verbal Ability,Para Jumbles,Easy,Weak area: Para Jumbles (accuracy: 14%),10.608406993594011
U00011,Q00681,Logical Reasoning,Series Completion,Easy,Weak area: Series Completion (accuracy: 15%),10.461286776000916
U00011,Q00942,Logical Reasoning,Series Completion,Easy,Weak area: Series Completion (accuracy: 15%),10.461286776000916
U00011,Q01465,Logical Reasoning,Series Completion,Easy,Weak area: Series Completion (accuracy: 15%),10.461286776000916
U00011,Q01427,Logical Reasoning,Series Completion,Easy,Weak area: Series Completion (accuracy: 15%),10.461286776000916
U00011,Q00171,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 22%),9.78825713213243
U00011,Q00218,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 22%),9.78825713213243
U00011,Q00377,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 22%),9.78825713213243
U00011,Q00438,Data Interpretation,Bar Graphs,Easy,Weak area: Bar Graphs (accuracy: 22%),9.78825713213243
U00012,Q00303,Logical Reasoning,Data Sufficiency,Easy,Weak area: Data Sufficiency (accuracy: 42%),7.843765710855022
U00012,Q01066,Logical Reasoning,Data Sufficiency,Easy,Weak area: Data Sufficiency (accuracy: 42%),7.843765710855022
U00012,Q01403,Logical Reasoning,Data Sufficiency,Easy,Weak area: Data Sufficiency (accuracy: 42%),7.843765710855022
U00012,Q01446,Logical Reasoning,Data Sufficiency,Easy,Weak area: Data Sufficiency (accuracy: 42%),7.843765710855022
U00012,Q00444,Data Interpretation,Line Graphs,Easy,Weak area: Line Graphs (accuracy: 44%),7.635816505116754
U00012,Q01134,Data Interpretation,Line Graphs,Easy,Weak area: Line Graphs (accuracy: 44%),7.635816505116754
U00012,Q00817,Data Interpretation,Line Graphs,Easy,Weak area: Line Graphs (accuracy: 44%),7.635816505116754
U00012,Q01205,Data Interpretation,Line Graphs,Easy,Weak area: Line Graphs (accuracy: 44%),7.635816505116754
U00012,Q07490,Logical Reasoning,Data Sufficiency,Medium,Spaced repetition: got wrong 25 days ago,5.823461033950617
U00012,Q01656,Logical Reasoning,Syllogisms,Hard,Spaced repetition: got wrong 24 days ago,5.799101080246913
U00012,Q05399,Verbal Ability,Critical Reasoning,Hard,Spaced repetition: got wrong 21 days ago,5.716358410493827
U00012,Q04149,Quantitative Aptitude,Permutation & Combination,Medium,Spaced repetition: got wrong 21 days ago,5.699897762345679
U00012,Q00998,Verbal Ability,Sentence Correction,Medium,Spaced repetition: got wrong 11 days ago,5.373451003086419
U00012,Q01879,Quantitative Aptitude,Logarithms,Easy,Spaced repetition: got wrong 10 days ago,5.32990200617284
U00012,Q09920,Logical Reasoning,Clocks & Calendars,Medium,Spaced repetition: got wrong 7 days ago,5.234586805555556
U00012,Q00260,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 100%),2.0
U00012,Q00175,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 100%),2.0
U00012,Q00462,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 100%),2.0
U00012,Q00839,Logical Reasoning,Analogy,Easy,Weak area: Analogy (accuracy: 100%),2.0
U00013,Q00186,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 1%),11.89105795141557
U00013,Q00201,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 1%),11.89105795141557
U00013,Q00426,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 1%),11.89105795141557
U00013,Q00284,Quantitative Aptitude,Partnership,Easy,Weak area: Partnership (accuracy: 1%),11.89105795141557
U00013,Q00185,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 2%),11.792690103946276
U00013,Q00385,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 2%),11.792690103946276
U00013,Q00827,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 2%),11.792690103946276
U00013,Q00782,Quantitative Aptitude,Geometry,Easy,Weak area: Geometry (accuracy: 2%),11.792690103946276
U00013,Q00666,Logical Reasoning,Clocks & Calendars,Medium,Spaced repetition: got wrong 251 days ago,8.0
U00013,Q02561,Data Interpretation,Tables,Medium,Spaced repetition: got wrong 297 days ago,8.0
U00013,Q02925,Verbal Ability,Cloze Test,Medium,Spaced repetition: got wrong 112 days ago,8.0
U00013,Q03720,Logical Reasoning,Analogy,Medium,Spaced repetition: got wrong 188 days ago,8.0
U00013,Q05680,Verbal Ability,Verbal Analogies,Medium,Spaced repetition: got wrong 118 days ago,8.0
U00013,Q04121,Logical Reasoning,Coding-Decoding,Hard,Spaced repetition: got wrong 283 days ago,8.0
U00013,Q06159,Data Interpretation,Bar Graphs,Hard,Spaced repetition: got wrong 293 days ago,8.0
U00013,Q08222,Verbal Ability,Error Spotting,Medium,Spaced repetition: got wrong 148 days ago,8.0
U00013,Q08022,Data Interpretation,Line Graphs,Medium,Spaced repetition: got wrong 137 days ago,8.0
U00013,Q09651,Logical Reasoning,Ranking & Order,Medium,Spaced repetition: got wrong 195 days ago,8.0
U00013,Q01867,Quantitative Aptitude,Percentages,Medium,Spaced repetition: got wrong 180 days ago,8.0
U00013,Q02394,Quantitative Aptitude,Quadratic Equations,Hard,Spaced repetition: got wrong 170 days ago,8.0
U00014,Q00021,Verbal Ability,Idioms & Phrases,Easy,Weak area: Idioms & Phrases (accuracy: 0%),12.0
U00014,Q00091,Verbal Ability,Idioms & Phrases,Easy,Weak area: Idioms & Phrases (accuracy: 0%),12.0
U00014,Q00094,Verbal Ability,Idioms & Phrases,Easy,Weak area: Idioms & Phrases (accuracy: 0%),12.0
