question_id,section,subtopic,difficulty_tag,exam_tags,exam_tags_list,num_exam_tags
Q00035,Data Interpretation,Venn-based DI,Medium,"TCS NQT,CAT","['TCS NQT', 'CAT']",2
Q00036,Quantitative Aptitude,Surds & Indices,Medium,"CAT,TCS NQT,SSC","['CAT', 'TCS NQT', 'SSC']",3
Q00037,Verbal Ability,Cloze Test,Hard,"CAT,SSC","['CAT', 'SSC']",2
Q00038,Logical Reasoning,Input-Output,Easy,Banking,['Banking'],1
Q00039,Quantitative Aptitude,Number System,Easy,"General,SSC,Placements","['General', 'SSC', 'Placements']",3
Q00040,Logical Reasoning,Puzzles,Medium,"SSC,TCS NQT,Placements","['SSC', 'TCS NQT', 'Placements']",3
Q00041,Logical Reasoning,Direction Sense,Hard,"Placements,TCS NQT","['Placements', 'TCS NQT']",2
Q00042,Quantitative Aptitude,Permutation & Combination,Easy,TCS NQT,['TCS NQT'],1
Q00043,Verbal Ability,Fill in the Blanks,Medium,"CAT,General","['CAT', 'General']",2
Q00044,Quantitative Aptitude,Linear Equations,Medium,"Placements,CAT","['Placements', 'CAT']",2
Q00045,Data Interpretation,Tables,Easy,"CAT,General,Banking","['CAT', 'General', 'Banking']",3
Q00046,Quantitative Aptitude,Profit & Loss,Medium,"Placements,General,Banking","['Placements', 'General', 'Banking']",3
Q00047,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,General","['TCS NQT', 'General']",2
Q00048,Quantitative Aptitude,Geometry,Hard,TCS NQT,['TCS NQT'],1
Q00049,Quantitative Aptitude,Pipes & Cisterns,Easy,"Placements,SSC,Banking","['Placements', 'SSC', 'Banking']",3
Q00050,Verbal Ability,Cloze Test,Easy,"SSC,Banking,TCS NQT","['SSC', 'Banking', 'TCS NQT']",3
Q00051,Logical Reasoning,Puzzles,Easy,Placements,['Placements'],1
Q00052,Verbal Ability,Para Jumbles,Medium,"CAT,TCS NQT","['CAT', 'TCS NQT']",2
Q00053,Data Interpretation,Venn-based DI,Easy,TCS NQT,['TCS NQT'],1
Q00054,Data Interpretation,Tables,Hard,CAT,['CAT'],1
Q00055,Quantitative Aptitude,Partnership,Medium,"CAT,Placements,General","['CAT', 'Placements', 'General']",3
Q00056,Logical Reasoning,Syllogisms,Easy,"CAT,TCS NQT","['CAT', 'TCS NQT']",2
Q00057,Quantitative Aptitude,Ratio & Proportion,Hard,"General,Banking","['General', 'Banking']",2
Q00058,Quantitative Aptitude,"Time, Speed & Distance",Easy,"Placements,TCS NQT,Banking","['Placements', 'TCS NQT', 'Banking']",3
Q00059,Verbal Ability,Sentence Correction,Hard,"Banking,Placements","['Banking', 'Placements']",2
Q00060,Verbal Ability,Para Jumbles,Easy,General,['General'],1
Q00061,Quantitative Aptitude,Geometry,Hard,"Banking,General","['Banking', 'General']",2
Q00062,Quantitative Aptitude,Mensuration,Easy,"CAT,General,TCS NQT","['CAT', 'General', 'TCS NQT']",3
Q00063,Logical Reasoning,Ranking & Order,Medium,"SSC,CAT,Placements","['SSC', 'CAT', 'Placements']",3
Q00064,Verbal Ability,Sentence Correction,Easy,TCS NQT,['TCS NQT'],1
Q00065,Quantitative Aptitude,Mensuration,Medium,Banking,['Banking'],1
Q00066,Verbal Ability,Synonyms & Antonyms,Medium,"Banking,Placements","['Banking', 'Placements']",2
Q00067,Quantitative Aptitude,Profit & Loss,Medium,"TCS NQT,CAT","['TCS NQT', 'CAT']",2
Q00068,Data Interpretation,Bar Graphs,Medium,"TCS NQT,CAT,General","['TCS NQT', 'CAT', 'General']",3
Q00069,Data Interpretation,Tables,Medium,Banking,['Banking'],1
Q00070,Logical Reasoning,Analogy,Medium,"Placements,Banking","['Placements', 'Banking']",2
Q00071,Quantitative Aptitude,Percentages,Medium,Banking,['Banking'],1
Q00072,Data Interpretation,Bar Graphs,Hard,"SSC,Banking","['SSC', 'Banking']",2
Q00073,Data Interpretation,Caselets,Medium,"General,TCS NQT","['General', 'TCS NQT']",2
Q00074,Data Interpretation,Radar/Spider Charts,Hard,Placements,['Placements'],1
Q00075,Quantitative Aptitude,Mixtures & Alligations,Medium,CAT,['CAT'],1
Q00076,Quantitative Aptitude,Progressions (AP/GP),Medium,"TCS NQT,CAT,SSC","['TCS NQT', 'CAT', 'SSC']",3
Q00077,Data Interpretation,Bar Graphs,Medium,TCS NQT,['TCS NQT'],1
Q00078,Verbal Ability,Odd One Out,Hard,"TCS NQT,Placements,CAT","['TCS NQT', 'Placements', 'CAT']",3
Q00079,Quantitative Aptitude,Permutation & Combination,Medium,Placements,['Placements'],1
Q00080,Verbal Ability,Para Jumbles,Medium,"CAT,Placements,Banking","['CAT', 'Placements', 'Banking']",3
Q00081,Logical Reasoning,Puzzles,Easy,"Placements,TCS NQT,CAT","['Placements', 'TCS NQT', 'CAT']",3
Q00082,Data Interpretation,Pie Charts,Hard,"General,TCS NQT","['General', 'TCS NQT']",2
Q00083,Logical Reasoning,Venn Diagrams,Medium,"Placements,SSC","['Placements', 'SSC']",2
Q00084,Verbal Ability,Sentence Correction,Medium,"Banking,Placements","['Banking', 'Placements']",2
Q00085,Data Interpretation,Caselets,Easy,"SSC,CAT","['SSC', 'CAT']",2
Q00086,Logical Reasoning,Blood Relations,Easy,"TCS NQT,General","['TCS NQT', 'General']",2
Q00087,Logical Reasoning,Puzzles,Medium,TCS NQT,['TCS NQT'],1
Q00088,Quantitative Aptitude,"Time, Speed & Distance",Easy,"SSC,Placements,General","['SSC', 'Placements', 'General']",3
Q00089,Verbal Ability,Para Jumbles,Medium,SSC,['SSC'],1
Q00090,Verbal Ability,Critical Reasoning,Easy,Banking,['Banking'],1
Q00091,Verbal Ability,Idioms & Phrases,Easy,"SSC,TCS NQT,CAT","['SSC', 'TCS NQT', 'CAT']",3
Q00092,Logical Reasoning,Clocks & Calendars,Medium,"CAT,Placements,SSC","['CAT', 'Placements', 'SSC']",3
Q00093,Verbal Ability,Para Jumbles,Hard,General,['General'],1
Q00094,Verbal Ability,Idioms & Phrases,Easy,SSC,['SSC'],1
Q00095,Logical Reasoning,Clocks & Calendars,Easy,"Placements,SSC,General","['Placements', 'SSC', 'General']",3
Q00096,Logical Reasoning,Statement & Conclusion,Easy,"Banking,SSC,CAT","['Banking', 'SSC', 'CAT']",3
Q00097,Quantitative Aptitude,Profit & Loss,Easy,"Banking,SSC,CAT","['Banking', 'SSC', 'CAT']",3
Q00098,Verbal Ability,Reading Comprehension,Easy,"Placements,SSC","['Placements', 'SSC']",2
Q00099,Data Interpretation,Line Graphs,Medium,"Banking,TCS NQT,General","['Banking', 'TCS NQT', 'General']",3
Q00100,Logical Reasoning,Blood Relations,Easy,CAT,['CAT'],1
Q00101,Logical Reasoning,Direction Sense,Medium,"CAT,SSC,Placements","['CAT', 'SSC', 'Placements']",3
Q00102,Logical Reasoning,Input-Output,Easy,CAT,['CAT'],1
Q00103,Logical Reasoning,Clocks & Calendars,Medium,"CAT,SSC","['CAT', 'SSC']",2
Q00104,Logical Reasoning,Series Completion,Medium,"Placements,CAT,SSC","['Placements', 'CAT', 'SSC']",3
Q00105,Verbal Ability,Idioms & Phrases,Easy,"TCS NQT,Placements","['TCS NQT', 'Placements']",2
Q00106,Logical Reasoning,Statement & Assumption,Hard,Placements,['Placements'],1
Q00107,Verbal Ability,Para Summary,Easy,Placements,['Placements'],1
Q00108,Quantitative Aptitude,Pipes & Cisterns,Medium,"Banking,Placements","['Banking', 'Placements']",2
Q00109,Data Interpretation,Caselets,Medium,General,['General'],1
Q00110,Logical Reasoning,Puzzles,Medium,"CAT,Banking","['CAT', 'Banking']",2
Q00111,Data Interpretation,Tables,Medium,Banking,['Banking'],1
Q00112,Quantitative Aptitude,Linear Equations,Easy,"Placements,General","['Placements', 'General']",2
Q00113,Verbal Ability,Reading Comprehension,Easy,"Placements,Banking,SSC","['Placements', 'Banking', 'SSC']",3
Q00114,Quantitative Aptitude,Averages,Medium,SSC,['SSC'],1
Q00115,Verbal Ability,Fill in the Blanks,Hard,"TCS NQT,Banking,SSC","['TCS NQT', 'Banking', 'SSC']",3
Q00116,Quantitative Aptitude,Number System,Easy,SSC,['SSC'],1
Q00117,Verbal Ability,Synonyms & Antonyms,Hard,"SSC,CAT,TCS NQT","['SSC', 'CAT', 'TCS NQT']",3
Q00118,Logical Reasoning,Input-Output,Medium,"General,SSC","['General', 'SSC']",2
Q00119,Quantitative Aptitude,Geometry,Hard,"TCS NQT,CAT,Banking","['TCS NQT', 'CAT', 'Banking']",3
Q00120,Verbal Ability,Verbal Analogies,Medium,SSC,['SSC'],1
Q00121,Quantitative Aptitude,Percentages,Hard,"Banking,CAT,Placements","['Banking', 'CAT', 'Placements']",3
Q00122,Quantitative Aptitude,Linear Equations,Hard,"CAT,SSC","['CAT', 'SSC']",2
Q00123,Logical Reasoning,Venn Diagrams,Easy,"CAT,SSC,TCS NQT","['CAT', 'SSC', 'TCS NQT']",3
Q00124,Data Interpretation,Data Sufficiency (DI),Medium,"Banking,SSC","['Banking', 'SSC']",2
Q00125,Verbal Ability,Idioms & Phrases,Medium,Placements,['Placements'],1
Q00126,Verbal Ability,Para Summary,Medium,"Banking,Placements,SSC","['Banking', 'Placements', 'SSC']",3
Q00127,Verbal Ability,Para Summary,Medium,"CAT,SSC,TCS NQT","['CAT', 'SSC', 'TCS NQT']",3
Q00128,Quantitative Aptitude,"Time, Speed & Distance",Medium,"TCS NQT,General","['TCS NQT', 'General']",2
Q00129,Logical Reasoning,Venn Diagrams,Hard,"Banking,General","['Banking', 'General']",2
Q00130,Quantitative Aptitude,Surds & Indices,Medium,TCS NQT,['TCS NQT'],1
Q00131,Verbal Ability,Odd One Out,Easy,"Placements,CAT,SSC","['Placements', 'CAT', 'SSC']",3
Q00132,Quantitative Aptitude,Permutation & Combination,Hard,"General,TCS NQT,SSC","['General', 'TCS NQT', 'SSC']",3
Q00133,Verbal Ability,Para Jumbles,Easy,General,['General'],1
Q00134,Verbal Ability,Critical Reasoning,Hard,Placements,['Placements'],1
Q00135,Data Interpretation,Line Graphs,Medium,CAT,['CAT'],1
Q00136,Verbal Ability,Sentence Correction,Medium,"TCS NQT,CAT","['TCS NQT', 'CAT']",2
Q00137,Logical Reasoning,Cubes & Dice,Hard,"General,TCS NQT","['General', 'TCS NQT']",2
Q00138,Quantitative Aptitude,"Time, Speed & Distance",Medium,"General,Banking,TCS NQT","['General', 'Banking', 'TCS NQT']",3
Q00139,Quantitative Aptitude,Quadratic Equations,Easy,Placements,['Placements'],1
Q00140,Verbal Ability,Cloze Test,Medium,"CAT,General,Banking","['CAT', 'General', 'Banking']",3
Q00141,Data Interpretation,Tables,Medium,General,['General'],1
Q00142,Quantitative Aptitude,Permutation & Combination,Hard,"CAT,TCS NQT","['CAT', 'TCS NQT']",2
Q00143,Quantitative Aptitude,Ratio & Proportion,Hard,Banking,['Banking'],1
Q00144,Quantitative Aptitude,Compound Interest,Medium,"General,TCS NQT","['General', 'TCS NQT']",2
Q00145,Data Interpretation,Venn-based DI,Medium,"SSC,Banking,TCS NQT","['SSC', 'Banking', 'TCS NQT']",3
Q00146,Logical Reasoning,Cubes & Dice,Medium,General,['General'],1
Q00147,Logical Reasoning,Analogy,Hard,"SSC,Placements","['SSC', 'Placements']",2
Q00148,Quantitative Aptitude,Set Theory,Easy,"TCS NQT,Banking","['TCS NQT', 'Banking']",2
Q00149,Logical Reasoning,Statement & Assumption,Medium,"Banking,CAT","['Banking', 'CAT']",2
Q00150,Data Interpretation,Caselets,Hard,SSC,['SSC'],1
Q00151,Verbal Ability,Fill in the Blanks,Medium,"TCS NQT,CAT","['TCS NQT', 'CAT']",2
Q00152,Verbal Ability,Synonyms & Antonyms,Easy,Placements,['Placements'],1
Q00153,Data Interpretation,Data Sufficiency (DI),Hard,"Placements,General,CAT","['Placements', 'General', 'CAT']",3
Q00154,Data Interpretation,Data Sufficiency (DI),Hard,"SSC,TCS NQT","['SSC', 'TCS NQT']",2
Q00155,Quantitative Aptitude,Mensuration,Easy,"CAT,Placements","['CAT', 'Placements']",2
Q00156,Data Interpretation,Data Sufficiency (DI),Easy,"TCS NQT,CAT","['TCS NQT', 'CAT']",2
Q00157,Logical Reasoning,Ranking & Order,Medium,"CAT,SSC","['CAT', 'SSC']",2
Q00158,Logical Reasoning,Clocks & Calendars,Easy,"Banking,TCS NQT","['Banking', 'TCS NQT']",2
Q00159,Quantitative Aptitude,Pipes & Cisterns,Hard,"TCS NQT,General,Placements","['TCS NQT', 'General', 'Placements']",3
Q00160,Verbal Ability,Odd One Out,Hard,SSC,['SSC'],1
Q00161,Verbal Ability,Para Summary,Easy,"CAT,Banking","['CAT', 'Banking']",2
Q00162,Data Interpretation,Mixed DI Sets,Medium,"General,Banking,Placements","['General', 'Banking', 'Placements']",3
Q00163,Quantitative Aptitude,Mensuration,Medium,TCS NQT,['TCS NQT'],1
Q00164,Quantitative Aptitude,Probability,Medium,Banking,['Banking'],1
Q00165,Logical Reasoning,Blood Relations,Medium,General,['General'],1
Q00166,Logical Reasoning,Input-Output,Medium,Banking,['Banking'],1
Q00167,Data Interpretation,Line Graphs,Medium,SSC,['SSC'],1
Q00168,Verbal Ability,Para Summary,Easy,"Placements,Banking","['Placements', 'Banking']",2
Q00169,Quantitative Aptitude,Algebra,Easy,"Banking,SSC","['Banking', 'SSC']",2
Q00170,Logical Reasoning,Input-Output,Medium,"CAT,Banking","['CAT', 'Banking']",2
Q00171,Data Interpretation,Bar Graphs,Easy,"TCS NQT,CAT,SSC","['TCS NQT', 'CAT', 'SSC']",3
Q00172,Logical Reasoning,Statement & Assumption,Medium,"CAT,General,TCS NQT","['CAT', 'General', 'TCS NQT']",3
Q00173,Data Interpretation,Tables,Hard,CAT,['CAT'],1
Q00174,Logical Reasoning,Direction Sense,Hard,Placements,['Placements'],1
Q00175,Logical Reasoning,Analogy,Easy,"CAT,TCS NQT,Placements","['CAT', 'TCS NQT', 'Placements']",3
Q00176,Quantitative Aptitude,Mensuration,Easy,"SSC,General,Placements","['SSC', 'General', 'Placements']",3
Q00177,Quantitative Aptitude,Logarithms,Easy,"General,CAT,Placements","['General', 'CAT', 'Placements']",3
Q00178,Quantitative Aptitude,Mixtures & Alligations,Easy,TCS NQT,['TCS NQT'],1
Q00179,Data Interpretation,Bar Graphs,Medium,"TCS NQT,Banking","['TCS NQT', 'Banking']",2
Q00180,Quantitative Aptitude,Quadratic Equations,Easy,"Placements,CAT,General","['Placements', 'CAT', 'General']",3
Q00181,Quantitative Aptitude,Simple Interest,Easy,"SSC,TCS NQT,CAT","['SSC', 'TCS NQT', 'CAT']",3
Q00182,Quantitative Aptitude,Progressions (AP/GP),Medium,SSC,['SSC'],1
Q00183,Logical Reasoning,Input-Output,Medium,"SSC,CAT,General","['SSC', 'CAT', 'General']",3
Q00184,Data Interpretation,Bar Graphs,Hard,"Banking,CAT","['Banking', 'CAT']",2
Q00185,Quantitative Aptitude,Geometry,Easy,"General,Banking","['General', 'Banking']",2
Q00186,Quantitative Aptitude,Partnership,Easy,Banking,['Banking'],1
Q00187,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,SSC,Banking","['TCS NQT', 'SSC', 'Banking']",3
Q00188,Logical Reasoning,Cubes & Dice,Medium,"General,TCS NQT","['General', 'TCS NQT']",2
Q00189,Quantitative Aptitude,Averages,Easy,"Placements,CAT","['Placements', 'CAT']",2
Q00190,Logical Reasoning,Statement & Conclusion,Medium,"Placements,Banking","['Placements', 'Banking']",2
Q00191,Quantitative Aptitude,Progressions (AP/GP),Medium,"General,Banking,SSC","['General', 'Banking', 'SSC']",3
Q00192,Quantitative Aptitude,Number System,Medium,"SSC,Placements","['SSC', 'Placements']",2
Q00193,Quantitative Aptitude,Trigonometry,Easy,SSC,['SSC'],1
Q00194,Quantitative Aptitude,Averages,Hard,"SSC,TCS NQT","['SSC', 'TCS NQT']",2
Q00195,Logical Reasoning,Statement & Conclusion,Medium,"CAT,TCS NQT,Placements","['CAT', 'TCS NQT', 'Placements']",3
Q00196,Quantitative Aptitude,Profit & Loss,Medium,General,['General'],1
Q00197,Logical Reasoning,Input-Output,Medium,"TCS NQT,Placements","['TCS NQT', 'Placements']",2
Q00198,Quantitative Aptitude,Partnership,Medium,"General,Banking","['General', 'Banking']",2
Q00199,Verbal Ability,Odd One Out,Medium,CAT,['CAT'],1
Q00200,Quantitative Aptitude,Mixtures & Alligations,Easy,Banking,['Banking'],1
Q00201,Quantitative Aptitude,Partnership,Easy,SSC,['SSC'],1
Q00202,Quantitative Aptitude,Surds & Indices,Hard,"SSC,Banking,General","['SSC', 'Banking', 'General']",3
Q00203,Quantitative Aptitude,Geometry,Medium,"TCS NQT,SSC,General","['TCS NQT', 'SSC', 'General']",3
Q00204,Quantitative Aptitude,Partnership,Medium,"SSC,General","['SSC', 'General']",2
Q00205,Data Interpretation,Caselets,Hard,CAT,['CAT'],1
Q00206,Quantitative Aptitude,Pipes & Cisterns,Medium,SSC,['SSC'],1
Q00207,Data Interpretation,Pie Charts,Medium,"TCS NQT,Placements,General","['TCS NQT', 'Placements', 'General']",3
Q00208,Verbal Ability,Sentence Correction,Easy,"Banking,SSC,TCS NQT","['Banking', 'SSC', 'TCS NQT']",3
Q00209,Quantitative Aptitude,Simple Interest,Medium,SSC,['SSC'],1
Q00210,Quantitative Aptitude,Ratio & Proportion,Medium,"Placements,SSC","['Placements', 'SSC']",2
Q00211,Quantitative Aptitude,Number System,Medium,"TCS NQT,Placements,SSC","['TCS NQT', 'Placements', 'SSC']",3
Q00212,Logical Reasoning,Syllogisms,Easy,TCS NQT,['TCS NQT'],1
Q00213,Quantitative Aptitude,Mixtures & Alligations,Easy,"Placements,Banking,CAT","['Placements', 'Banking', 'CAT']",3
Q00214,Quantitative Aptitude,Number System,Medium,"SSC,Banking,TCS NQT","['SSC', 'Banking', 'TCS NQT']",3
Q00215,Verbal Ability,Odd One Out,Medium,"Placements,CAT","['Placements', 'CAT']",2
Q00216,Quantitative Aptitude,Averages,Hard,"CAT,General","['CAT', 'General']",2
Q00217,Verbal Ability,Para Summary,Hard,"CAT,TCS NQT","['CAT', 'TCS NQT']",2
Q00218,Data Interpretation,Bar Graphs,Easy,Placements,['Placements'],1
Q00219,Quantitative Aptitude,Progressions (AP/GP),Medium,"CAT,Placements","['CAT', 'Placements']",2
Q00220,Quantitative Aptitude,Simple Interest,Medium,"Banking,TCS NQT,Placements","['Banking', 'TCS NQT', 'Placements']",3
Q00221,Quantitative Aptitude,Permutation & Combination,Easy,"Banking,General","['Banking', 'General']",2
Q00222,Verbal Ability,Critical Reasoning,Medium,"Banking,SSC,CAT","['Banking', 'SSC', 'CAT']",3
Q00223,Logical Reasoning,Puzzles,Hard,General,['General'],1
Q00224,Logical Reasoning,Series Completion,Medium,"General,CAT","['General', 'CAT']",2
Q00225,Logical Reasoning,Coding-Decoding,Easy,Placements,['Placements'],1
Q00226,Quantitative Aptitude,Probability,Hard,Placements,['Placements'],1
Q00227,Logical Reasoning,Blood Relations,Medium,"Banking,TCS NQT","['Banking', 'TCS NQT']",2
Q00228,Quantitative Aptitude,Trigonometry,Hard,"CAT,Placements","['CAT', 'Placements']",2
Q00229,Verbal Ability,Critical Reasoning,Easy,"SSC,Banking,CAT","['SSC', 'Banking', 'CAT']",3
Q00230,Verbal Ability,Cloze Test,Medium,SSC,['SSC'],1
Q00231,Data Interpretation,Tables,Medium,"CAT,TCS NQT","['CAT', 'TCS NQT']",2
Q00232,Quantitative Aptitude,Ratio & Proportion,Medium,"Placements,SSC,General","['Placements', 'SSC', 'General']",3
Q00233,Quantitative Aptitude,Profit & Loss,Medium,Placements,['Placements'],1
Q00234,Quantitative Aptitude,Mixtures & Alligations,Hard,"General,TCS NQT,SSC","['General', 'TCS NQT', 'SSC']",3
Q00235,Quantitative Aptitude,Mensuration,Hard,Banking,['Banking'],1
Q00236,Verbal Ability,Error Spotting,Easy,"General,Banking","['General', 'Banking']",2
Q00237,Quantitative Aptitude,Averages,Medium,"TCS NQT,Banking,General","['TCS NQT', 'Banking', 'General']",3
Q00238,Verbal Ability,Para Jumbles,Medium,"CAT,Banking,SSC","['CAT', 'Banking', 'SSC']",3
Q00239,Quantitative Aptitude,Logarithms,Easy,"CAT,General","['CAT', 'General']",2
Q00240,Logical Reasoning,Statement & Assumption,Hard,"TCS NQT,General,CAT","['TCS NQT', 'General', 'CAT']",3
Q00241,Quantitative Aptitude,Surds & Indices,Medium,"TCS NQT,CAT","['TCS NQT', 'CAT']",2
Q00242,Quantitative Aptitude,Time & Work,Hard,"TCS NQT,Banking","['TCS NQT', 'Banking']",2
Q00243,Data Interpretation,Caselets,Medium,TCS NQT,['TCS NQT'],1
Q00244,Verbal Ability,Para Summary,Easy,"Banking,CAT,General","['Banking', 'CAT', 'General']",3
Q00245,Logical Reasoning,Data Sufficiency,Medium,"SSC,General","['SSC', 'General']",2
Q00246,Data Interpretation,Pie Charts,Hard,SSC,['SSC'],1
Q00247,Logical Reasoning,Input-Output,Easy,"Banking,SSC,General","['Banking', 'SSC', 'General']",3
Q00248,Logical Reasoning,Syllogisms,Medium,"CAT,SSC","['CAT', 'SSC']",2
Q00249,Quantitative Aptitude,Averages,Easy,"CAT,Banking","['CAT', 'Banking']",2
Q00250,Logical Reasoning,Blood Relations,Hard,"TCS NQT,Banking,General","['TCS NQT', 'Banking', 'General']",3
Q00251,Quantitative Aptitude,Percentages,Easy,TCS NQT,['TCS NQT'],1
Q00252,Quantitative Aptitude,Linear Equations,Medium,"Banking,General,CAT","['Banking', 'General', 'CAT']",3
Q00253,Quantitative Aptitude,"Time, Speed & Distance",Easy,"TCS NQT,Placements","['TCS NQT', 'Placements']",2
Q00254,Data Interpretation,Caselets,Medium,"General,Banking","['General', 'Banking']",2
Q00255,Logical Reasoning,Puzzles,Medium,General,['General'],1
Q00256,Quantitative Aptitude,Logarithms,Hard,General,['General'],1
Q00257,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,CAT","['TCS NQT', 'CAT']",2
Q00258,Quantitative Aptitude,Probability,Hard,"CAT,Placements","['CAT', 'Placements']",2
Q00259,Quantitative Aptitude,Simple Interest,Easy,"CAT,Placements","['CAT', 'Placements']",2
Q00260,Logical Reasoning,Analogy,Easy,"SSC,TCS NQT,General","['SSC', 'TCS NQT', 'General']",3
Q00261,Verbal Ability,Para Summary,Medium,"Banking,Placements","['Banking', 'Placements']",2
Q00262,Logical Reasoning,Cubes & Dice,Medium,"Placements,Banking,General","['Placements', 'Banking', 'General']",3
Q00263,Quantitative Aptitude,Logarithms,Easy,"General,Placements,CAT","['General', 'Placements', 'CAT']",3
Q00264,Verbal Ability,Critical Reasoning,Medium,"SSC,TCS NQT","['SSC', 'TCS NQT']",2
Q00265,Quantitative Aptitude,Averages,Easy,SSC,['SSC'],1
Q00266,Quantitative Aptitude,Pipes & Cisterns,Easy,"TCS NQT,General","['TCS NQT', 'General']",2
Q00267,Quantitative Aptitude,Surds & Indices,Medium,"Placements,Banking","['Placements', 'Banking']",2
Q00268,Verbal Ability,Idioms & Phrases,Easy,"SSC,General","['SSC', 'General']",2
Q00269,Quantitative Aptitude,Probability,Easy,"Banking,General,SSC","['Banking', 'General', 'SSC']",3
Q00270,Verbal Ability,Sentence Correction,Medium,"Placements,TCS NQT,Banking","['Placements', 'TCS NQT', 'Banking']",3
Q00271,Verbal Ability,Sentence Correction,Easy,"CAT,SSC","['CAT', 'SSC']",2
Q00272,Quantitative Aptitude,Pipes & Cisterns,Easy,"General,Banking","['General', 'Banking']",2
Q00273,Quantitative Aptitude,Quadratic Equations,Easy,"General,Placements,Banking","['General', 'Placements', 'Banking']",3
Q00274,Logical Reasoning,Syllogisms,Hard,TCS NQT,['TCS NQT'],1
Q00275,Verbal Ability,Verbal Analogies,Easy,"CAT,Banking","['CAT', 'Banking']",2
Q00276,Logical Reasoning,Puzzles,Easy,"Banking,CAT,Placements","['Banking', 'CAT', 'Placements']",3
Q00277,Verbal Ability,Para Summary,Medium,"Placements,CAT,Banking","['Placements', 'CAT', 'Banking']",3
Q00278,Quantitative Aptitude,Averages,Hard,"TCS NQT,Banking","['TCS NQT', 'Banking']",2
Q00279,Verbal Ability,Cloze Test,Easy,SSC,['SSC'],1
Q00280,Data Interpretation,Venn-based DI,Medium,"SSC,Banking","['SSC', 'Banking']",2
Q00281,Logical Reasoning,Syllogisms,Easy,"CAT,Placements,SSC","['CAT', 'Placements', 'SSC']",3
